Zeitstempel,Was ist dein Geschlecht? ,Zu Welcher Altersgruppe gehörst du?,Studierst du aktuell? ,Was ist deine aktuelle Wohnsituation?,Hast du Kinder?,Erwerbsstatus,"Falls du noch Studierst, dein aktueller Studiumstatus",Wohnort,Wie oft reist du pro Jahr? ,Sparst du aktiv für eine Reise?,Was motiviert dich zum Reisen?,Reist du lieber alleine oder in einer Gruppe?,"Was ist ein wichtiges Kriterium für dich, ein Land zu bereisen?",Wie planst du deine Reise?,Welche Art von Unterkunft bevorzugst du auf Reisen?,Welche Art von Transportmittel bevorzugst du auf Reisen?,Welche Art von Aktivitäten unternimmst du am meisten auf Reisen?,Gibt es Orte die du regelmässig auf Reisen wieder besuchst?,"Wie wichtig ist dir, in Kontakt mit Einheimischen zu treten?","Wie wichtig ist es dir, die Sprache des Reiselandes zu sprechen?",Suchst du aktiv nach Kontakt mit Einheimischen?,"Bist du ein digitaler Nomade oder hast du jemals darüber nachgedacht, einer zu werden?",Könntest du dir vorstellen in Zukunft ein digitaler Nomade zu werden? ,Wie gross ist dein jährliches Reisebudget?
2023-05-10 08:16:27.233,M,26 - 35,Ja,WG,Nein,Teilzeit,Teilzeit,Stadt,Drei bis Viermal,Ja,"Neugier / Entdeckungslust, Abenteuerlust",Partner/Partnerin,Sicherheit (Die eigene Sicherheit ist gewährleistet),Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), Ferienwohnung oder Häuser","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,3,2,2,Nein,4,2000-5000 CHF
2023-05-10 08:28:57.196,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Selbständig,Teilzeit,Ländliche Gegend,Drei bis Viermal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Bildung / Persönliche Entwicklung",alleine,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet)",Ich plane und buche alles selbst,"Hostels, AirBnb, Camping oder Wohnmobil","Flugzeug, Auto, Zug","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,4,3,3,Ja,5,5000-10000 CHF
2023-05-11 08:10:16.336,M,36 +,Nein,Einzeln,Ja,Teilzeit,Studiere nicht,Ländliche Gegend,Zweimal,Ja,"Neugier / Entdeckungslust, Bildung / Persönliche Entwicklung",keine grossen Gruppen,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser","Flugzeug, Auto, Fahrrad","Besichtigung von Sehenswürdigkeiten, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,4,2,4,Nein,2,2000-5000 CHF
2023-05-11 10:22:48.700,W,36 +,Nein,Mit der jetzigen Familie/Partner,Ja,Vollzeit,Studiere nicht,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Entspannung, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen, Flucht / Abstand",Familie,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet), Interesse, Natur",Ich plane und buche alles selbst,"Hostels, Ferienwohnung oder Häuser",Zug,"Besichtigung von Sehenswürdigkeiten, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,4,4,3,Nein,2,5000-10000 CHF
2023-05-12 00:53:02.444,M,18 - 25,Ja,Einzeln,Nein,Arbeitslos,Vollzeit,Stadt,Zweimal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser, AirBnb","Flugzeug, Zug, Bus, Fahrrad","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,2,2,2,Ja,3,500-2000 CHF
2023-05-13 13:20:04.250,W,36 +,Nein,Mit der jetzigen Familie/Partner,Ja,Vollzeit,Studiere nicht,Stadt,Drei bis Viermal,Ich spare nur in Ausnahmefällen für bestimmte Reisen,"Neugier / Entdeckungslust, Entspannung, Bildung / Persönliche Entwicklung, Arbeit / Karriere",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Natur (Landschaft)",Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), Mittelklassehotels (3-4 Sterne)","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,3,5,3,Nein,3,5000-10000 CHF
2023-05-15 09:52:47.616,M,36 +,Nein,WG,Ja,Vollzeit,Studiere nicht,Vorort,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Entspannung, Bildung / Persönliche Entwicklung, Arbeit / Karriere, Familie / Freunde besuchen","Unterschiedliche Zusammensetzung von Gruppen, je nach Reise","Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Event (Karneval in Rio, New York City Marathon, etc.)","Teils lasse ich planen, teils plane ich selber",Mittelklassehotels (3-4 Sterne),"Flugzeug, Zug","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,5,3,5,Nein,2,5000-10000 CHF
2023-05-15 19:26:07.798,W,18 - 25,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Teilzeit,Vorort,Zweimal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung",Partner/Partnerin,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser, AirBnb",Flugzeug,"Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse)",Ja,4,2,4,Ja,5,5000-10000 CHF
2023-05-16 07:45:42.492,M,36 +,Ja,Einzeln,Nein,Teilzeit,Teilzeit,Ländliche Gegend,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Familie / Freunde besuchen","Familie, Freunde","Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,Ferienwohnung oder Häuser,Geld/Zeit,"Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,4,2,3,Nein,4,2000-5000 CHF
2023-05-16 10:46:02.195,W,36 +,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Teilzeit,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen",Partner/Partnerin,Landschaft,Ich plane und buche alles selbst,"Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil","Auto, Fahrrad","Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,4,4,3,Nein,2,5000-10000 CHF
